Timestamp,O-RAN-RU-00-00-00-00-00,O-RAN-RU-00-00-00-00-01,O-RAN-RU-00-00-00-00-02,O-RAN-RU-00-00-00-01-00,O-RAN-RU-00-00-00-01-01,O-RAN-RU-00-00-00-01-02,O-RAN-RU-00-00-00-02-00,O-RAN-RU-00-00-00-02-01,O-RAN-RU-00-00-00-02-02,O-RAN-RU-00-00-00-03-00,O-RAN-RU-00-00-00-03-01,O-RAN-RU-00-00-00-03-02,O-RAN-RU-00-00-00-04-00,O-RAN-RU-00-00-00-04-01,O-RAN-RU-00-00-00-04-02,O-RAN-RU-00-00-00-05-00,O-RAN-RU-00-00-00-05-01,O-RAN-RU-00-00-00-05-02,O-RAN-RU-00-00-00-06-00,O-RAN-RU-00-00-00-06-01,O-RAN-RU-00-00-00-06-02
2024-12-20T00:00:00+00:00,200.0,200.0,268.0,278.0,220.0,200.0,254.0,224.0,200.0,208.0,202.0,274.0,270.0,214.0,200.0,214.0,232.0,318.0,308.0,200.0,276.0
2024-12-20T01:00:00+00:00,246.0,298.0,256.0,200.0,200.0,310.0,304.0,308.0,200.0,224.0,200.0,236.0,282.0,280.0,200.0,230.0,252.0,210.0,278.0,248.0,290.0
2024-12-20T02:00:00+00:00,200.0,200.0,200.0,202.0,260.0,274.0,226.0,230.0,220.0,280.0,200.0,298.0,200.0,250.0,230.0,200.0,200.0,200.0,278.0,214.0,226.0
2024-12-20T03:00:00+00:00,292.0,250.0,266.0,208.0,206.0,216.0,200.0,200.0,254.0,228.0,200.0,254.0,292.0,210.0,200.0,200.0,200.0,204.0,264.0,254.0,200.0
2024-12-20T04:00:00+00:00,200.0,258.0,248.0,200.0,200.0,204.0,222.0,200.0,200.0,206.0,272.0,246.0,236.0,200.0,262.0,284.0,200.0,200.0,200.0,206.0,220.0
2024-12-20T05:00:00+00:00,200.0,266.0,200.0,288.0,284.0,292.0,200.0,200.0,200.0,222.0,206.0,274.0,230.0,234.0,200.0,276.0,236.0,230.0,200.0,282.0,210.0
2024-12-20T06:00:00+00:00,284.0,258.0,306.0,294.0,200.0,200.0,294.0,278.0,216.0,262.0,200.0,200.0,200.0,214.0,300.0,238.0,250.0,200.0,224.0,290.0,218.0
2024-12-20T07:00:00+00:00,256.0,240.0,266.0,276.0,294.0,248.0,318.0,308.0,340.0,326.0,228.0,304.0,236.0,304.0,276.0,214.0,244.0,300.0,298.0,234.0,260.0
2024-12-20T08:00:00+00:00,284.0,238.0,238.0,360.0,312.0,302.0,232.0,304.0,236.0,318.0,244.0,318.0,346.0,330.0,254.0,364.0,264.0,254.0,318.0,282.0,280.0
2024-12-20T09:00:00+00:00,294.0,348.0,376.0,340.0,342.0,360.0,362.0,274.0,314.0,280.0,256.0,314.0,258.0,282.0,378.0,372.0,338.0,352.0,320.0,298.0,284.0
2024-12-20T10:00:00+00:00,330.0,300.0,332.0,318.0,310.0,374.0,340.0,310.0,358.0,314.0,302.0,390.0,318.0,364.0,288.0,300.0,330.0,328.0,256.0,350.0,372.0
2024-12-20T11:00:00+00:00,352.0,372.0,372.0,278.0,384.0,306.0,346.0,394.0,380.0,348.0,390.0,320.0,342.0,382.0,352.0,340.0,396.0,310.0,264.0,358.0,310.0
2024-12-20T12:00:00+00:00,392.0,356.0,304.0,316.0,352.0,400.0,320.0,396.0,384.0,366.0,332.0,400.0,318.0,312.0,304.0,304.0,380.0,370.0,290.0,400.0,400.0
2024-12-20T13:00:00+00:00,318.0,348.0,364.0,370.0,362.0,308.0,360.0,354.0,318.0,346.0,374.0,364.0,352.0,306.0,328.0,372.0,400.0,356.0,350.0,380.0,384.0
2024-12-20T14:00:00+00:00,372.0,326.0,400.0,372.0,400.0,400.0,400.0,356.0,356.0,390.0,400.0,400.0,400.0,392.0,400.0,400.0,386.0,400.0,400.0,358.0,316.0
2024-12-20T15:00:00+00:00,300.0,372.0,378.0,318.0,300.0,344.0,302.0,354.0,378.0,380.0,314.0,400.0,400.0,366.0,354.0,358.0,400.0,334.0,396.0,312.0,392.0
